type,hash_test_creation,test_file,hash_test_impl,impl_file
before,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,WelzlEncloser2DTest.java,34ce0ca0c23b3dba590448d88cea6daf03796ce8,WelzlEncloser2D.java
before,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,WelzlEncloser3DTest.java,34ce0ca0c23b3dba590448d88cea6daf03796ce8,WelzlEncloser3D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SphereGeneratorTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SphereGenerator.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,DiskGeneratorTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,DiskGenerator.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,CharacterizationTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Characterization.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Cartesian1DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Cartesian1D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean1DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean1D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,IntervalTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Interval.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,IntervalsSetTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,IntervalsSet.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,OrientedPointTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,OrientedPoint.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubOrientedPointTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubOrientedPoint.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean3DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean3D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,LineTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Line.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,PlaneTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Plane.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,PolyhedronsSetTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,PolyhedronsSet.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,RotationOrderTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,RotationOrder.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,RotationTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Rotation.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubLineTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubLine.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Vector3DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Vector3D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Cartesian2DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Cartesian2D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean2DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Euclidean2D.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,NestedLoopsTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,NestedLoops.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,PolygonsSetTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,PolygonsSet.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SegmentTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Segment.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,AklToussaintHeuristicTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,AklToussaintHeuristic.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,MonotoneChainTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,MonotoneChain.java
same,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SphericalCoordinatesTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SphericalCoordinates.java
same,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point1DTest.java,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point1D.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Vector1DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Vector1D.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Cartesian3DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Cartesian3D.java
same,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point3DTest.java,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point3D.java
same,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point2DTest.java,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point2D.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Vector2DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Vector2D.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,ArcTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Arc.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,ArcsSetTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,ArcsSet.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,LimitAngleTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,LimitAngle.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,S1PointTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,S1Point.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,CircleTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Circle.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,S2PointTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,S2Point.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,SphericalPolygonsSetTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SphericalPolygonsSet.java
after,09cc0fc375464ac4839e6cbc1444b738abbf1c28,SubCircleTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubCircle.java
same,f255ccce7c5736f2eb88c91ef57a4483adede29c,SimpleCoordinateFormatTest.java,f255ccce7c5736f2eb88c91ef57a4483adede29c,SimpleCoordinateFormat.java
after,76086cc615ce129629b2f5a4a91baa1c3c3b3467,GeometryTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Geometry.java
same,76086cc615ce129629b2f5a4a91baa1c3c3b3467,PolarCoordinatesTest.java,76086cc615ce129629b2f5a4a91baa1c3c3b3467,PolarCoordinates.java
same,2331c8a18296ae25e1b4b85b98bc7b7dbb718d05,SimpleTupleFormatTest.java,2331c8a18296ae25e1b4b85b98bc7b7dbb718d05,SimpleTupleFormat.java
same,fefd035e263190d74aa02127fcd1ffcfdb3d227e,SphericalDerivativeConverterTest.java,fefd035e263190d74aa02127fcd1ffcfdb3d227e,SphericalDerivativeConverter.java
same,b329f9b0952c9c3537b6bcd0803a482a1001af17,VectorsTest.java,b329f9b0952c9c3537b6bcd0803a482a1001af17,Vectors.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,MatricesTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,Matrices.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix1DTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix1D.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix3DTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix3D.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AxisAngleSequenceTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AxisAngleSequence.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AxisSequenceTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AxisSequence.java
same,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix2DTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,AffineTransformMatrix2D.java
after,ef516df89b8e7f5c844777cbb050292209ccd3e7,QuaternionRotationTest.java,c7f8a3d5c2db162e1ef0f3ff63aec590de298cc9,QuaternionRotation.java
same,6e83c6a08a36a644a978d1448bf0d1265e4a5984,DoublePrecisionContextTest.java,6e83c6a08a36a644a978d1448bf0d1265e4a5984,DoublePrecisionContext.java
same,6e83c6a08a36a644a978d1448bf0d1265e4a5984,EpsilonDoublePrecisionContextTest.java,6e83c6a08a36a644a978d1448bf0d1265e4a5984,EpsilonDoublePrecisionContext.java
after,77a2792463b091a37eea3859032793648a9b525d,EmbeddingTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Embedding.java
same,77a2792463b091a37eea3859032793648a9b525d,IteratorTransformTest.java,77a2792463b091a37eea3859032793648a9b525d,IteratorTransform.java
after,77a2792463b091a37eea3859032793648a9b525d,TestBSPTree.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,BSPTree.java
after,77a2792463b091a37eea3859032793648a9b525d,TestLine.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,Line.java
after,77a2792463b091a37eea3859032793648a9b525d,TestPoint1D.java,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point1D.java
after,77a2792463b091a37eea3859032793648a9b525d,TestPoint2D.java,09cc0fc375464ac4839e6cbc1444b738abbf1c28,Point2D.java
same,77a2792463b091a37eea3859032793648a9b525d,TestTransform2D.java,77a2792463b091a37eea3859032793648a9b525d,Transform2D.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractConvexHyperplaneBoundedRegionTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractConvexHyperplaneBoundedRegion.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractEmbeddingSubHyperplaneTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractEmbeddingSubHyperplane.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractHyperplaneTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractHyperplane.java
same,77a2792463b091a37eea3859032793648a9b525d,SplitTest.java,77a2792463b091a37eea3859032793648a9b525d,Split.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractBSPTreeMergeOperatorTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractBSPTreeMergeOperator.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractBSPTreeTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractBSPTree.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractRegionBSPTreeTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractRegionBSPTree.java
same,77a2792463b091a37eea3859032793648a9b525d,AttributeBSPTreeTest.java,77a2792463b091a37eea3859032793648a9b525d,AttributeBSPTree.java
after,77a2792463b091a37eea3859032793648a9b525d,BSPTreeVisitorTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,BSPTreeVisitor.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionCutBoundaryTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionCutBoundary.java
same,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform1DTest.java,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform1D.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1DTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1D.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexSubPlaneTest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexSubPlane.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexVolumeTest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexVolume.java
same,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform3DTest.java,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform3D.java
same,77a2792463b091a37eea3859032793648a9b525d,Line3DTest.java,77a2792463b091a37eea3859032793648a9b525d,Line3D.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree3DTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree3D.java
same,77a2792463b091a37eea3859032793648a9b525d,Segment3DTest.java,77a2792463b091a37eea3859032793648a9b525d,Segment3D.java
same,77a2792463b091a37eea3859032793648a9b525d,SubLine3DTest.java,77a2792463b091a37eea3859032793648a9b525d,SubLine3D.java
after,77a2792463b091a37eea3859032793648a9b525d,SubPlaneTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubPlane.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractSegmentConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractSegmentConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexAreaTest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexArea.java
same,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform2DTest.java,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform2D.java
same,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleSegmentConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleSegmentConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,PolylineTest.java,77a2792463b091a37eea3859032793648a9b525d,Polyline.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2DTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2D.java
same,77a2792463b091a37eea3859032793648a9b525d,AngularIntervalTest.java,77a2792463b091a37eea3859032793648a9b525d,AngularInterval.java
same,77a2792463b091a37eea3859032793648a9b525d,CutAngleTest.java,77a2792463b091a37eea3859032793648a9b525d,CutAngle.java
same,77a2792463b091a37eea3859032793648a9b525d,Point1STest.java,77a2792463b091a37eea3859032793648a9b525d,Point1S.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1STest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1S.java
same,77a2792463b091a37eea3859032793648a9b525d,Transform1STest.java,77a2792463b091a37eea3859032793648a9b525d,Transform1S.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexArea2STest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexArea2S.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatArcPathTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatArcPath.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatArcTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatArc.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatCircleTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatCircle.java
same,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleGreatArcConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleGreatArcConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,Point2STest.java,77a2792463b091a37eea3859032793648a9b525d,Point2S.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2STest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2S.java
same,77a2792463b091a37eea3859032793648a9b525d,SubGreatCircleTest.java,77a2792463b091a37eea3859032793648a9b525d,SubGreatCircle.java
same,77a2792463b091a37eea3859032793648a9b525d,Transform2STest.java,77a2792463b091a37eea3859032793648a9b525d,Transform2S.java
after,fd09ed0eb7f3dd61fc5377d455707c2ecc8108d5,GeometryInternalErrorTest.java,fc1af80256cb7b1f562aab0841267565695215fd,GeometryInternalError.java
same,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries3DTest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries3D.java
